product_id,warehouse_id,customer_location,customer_zipcode,Cost_to_customer,delivery_period,delivery_cost,customer_review
P0233,W102,"24/95, Bahl Nagar, Mallickpada, BOUDH, Odisha, 762020, India",762020,1331.77,1,239.31,3
P0491,W178,"H.No. 403, Tiwari Zila, Jyothinagar NTPC S.O, PEDDAPALLI, Telangana, 505215, India",505215,2123.03,1,146.11,5
P0299,W058,"24/95, Bahl Nagar, Mallickpada, BOUDH, Odisha, 762020, India",762020,9015.23,0,70.9,4
P0359,W047,"697, Hayre Ganj, Bagda, PURULIYA, West Bengal, 723151, India",723151,7097.79,1,131.74,1
P0232,W145,"H.No. 77, Suri Marg, Bachiti, SAHARANPUR, Uttar Pradesh, 247551, India",247551,13401.63,3,37.27,2
P0273,W117,"72, Shanker Street, Valagota, DAHOD, Gujarat, 389130, India",389130,4547.74,1,406.55,5
P0313,W182,"79/85, Palan Zila, Kolathur, KANCHIPURAM, Tamil Nadu, 600048, India",600048,1557.33,2,149.34,1
P0168,W138,"316, Gopal Nagar, Ullodu, CHIKKABALLAPUR, Karnataka, 561209, India",561209,3220.2,3,65.73,4
P0137,W020,"H.No. 92, Rao Street, Tiruvannamalai RS, TIRUVANNAMALAI, Tamil Nadu, 606601, India",606601,2640.84,3,178.31,1
P0486,W053,"H.No. 319, Bath Street, Rakba Amola, AMBEDKAR NAGAR, Uttar Pradesh, 224139, India",224139,7667.76,1,231.24,4
P0494,W178,"29/644, Anand Chowk, Uttar Borbil, KARBI ANGLONG, Assam, 782481, India",782481,13189.37,2,25.63,4
P0161,W052,"49/81, Mane Path, Barwala, BAGPAT, Uttar Pradesh, 250621, India",250621,9966.41,3,290.47,5
P0317,W140,"H.No. 455, Dube Path, Holebenavalli, SHIVAMOGGA, Karnataka, 577222, India",577222,4102.48,3,194.12,5
P0127,W047,"74/51, Chandran Street, Kabilpur, BIRBHUM, West Bengal, 731132, India",731132,5983.36,0,103.83,4
P0099,W002,"12, Chaudhuri Marg, Jakanur, BAGALKOT, Karnataka, 587201, India",587201,5151.13,3,23.71,2
P0136,W116,"H.No. 83, Yogi Marg, Sirsam, PARBHANI, Maharashtra, 431536, India",431536,1508.33,0,50.01,3
P0402,W172,"H.No. 181, Sheth Path, MADHAPUR, NIZAMABAD, Telangana, 503213, India",503213,3438.58,1,208.04,3
P0480,W073,"32, Ghose, Kottisa, SRIKAKULAM, Andhra Pradesh, 532461, India",532461,5643.37,4,280.39,2
P0452,W112,"H.No. 802, Johal Marg, Kakauli, FAIZABAD, Uttar Pradesh, 224195, India",224195,6558.41,1,296.34,4
P0308,W074,"H.No. 13, Rajagopalan Circle, Chemuduguda, VIZIANAGARAM, Andhra Pradesh, 535523, India",535523,12302.08,1,84.19,3
P0003,W050,"77, Amble Road, Mysore Mala, KOZHIKODE, Kerala, 673602, India",673602,11838.72,0,89.74,4
P0338,W186,"01/361, Balasubramanian Street, SeKunnatur, VILLUPURAM, Tamil Nadu, 605651, India",605651,13814.64,0,100.2,5
P0342,W191,"328, Lad Chowk, Purseni, LUCKNOW, Uttar Pradesh, 226301, India",226301,577.27,3,243.81,3
P0477,W166,"883, Pandey Marg, Venkatapalem, GUNTUR, Andhra Pradesh, 522237, India",522237,4307.33,2,55.03,5
P0196,W053,"586, Rout Zila, Heerapura (Beerpur), SHEOPUR, Madhya Pradesh, 476335, India",476335,8547.46,2,37.67,5
P0324,W124,"19/444, Deshmukh, Garethi Gurudutt Singh, BAHRAICH, Uttar Pradesh, 271851, India",271851,576.81,4,368.17,2
P0333,W066,"19/444, Deshmukh, Garethi Gurudutt Singh, BAHRAICH, Uttar Pradesh, 271851, India",271851,8980.51,0,230.78,1
P0076,W161,"12, Chaudhuri Marg, Jakanur, BAGALKOT, Karnataka, 587201, India",587201,1225.41,1,101.11,3
P0060,W102,"94/63, Basak, Sikindlapur, SIDDIPET, Telangana, 502267, India",502267,12949.63,3,110.83,1
P0289,W110,"H.No. 181, Sheth Path, MADHAPUR, NIZAMABAD, Telangana, 503213, India",503213,14049.37,1,88.97,2
P0244,W111,"H.No. 224, Sangha Chowk, Sav, RAIGARH, Maharashtra, 402301, India",402301,5597.84,2,442.38,2
P0312,W143,"910, Hora Ganj, BubKheri, GHAZIABAD, Uttar Pradesh, 201003, India",201003,5600.52,2,360.17,3
P0264,W172,"77, Amble Road, Mysore Mala, KOZHIKODE, Kerala, 673602, India",673602,4288.2,2,65.6,3
P0449,W062,"H.No. 375, Doctor Street, Pattipulam, KANCHIPURAM, Tamil Nadu, 603104, India",603104,10387.99,3,19.97,4
P0114,W173,"60, Vora Nagar, Pregnapur S.O, SIDDIPET, Telangana, 502311, India",502311,10508.59,4,194.27,2
P0498,W153,"005, Bassi Ganj, Nandgawan, ETAWAH, Uttar Pradesh, 206127, India",206127,10922.45,1,107.72,5
P0299,W058,"79/654, Chakraborty, Chandipur, JHALAWAR, Rajasthan, 326037, India",326037,9082.88,2,146.54,2
P0132,W185,"H.No. 963, Sachdeva Road, Hiwarkheda, Jalgaon, Maharashtra, 425114, India",425114,9905.58,1,6.29,1
P0322,W042,"H.No. 57, Hayer Circle, Monteswar, BARDHAMAN, West Bengal, 713145, India",713145,13173.19,1,232.18,5
P0038,W035,"92, Dixit Circle, Sangampatti, TIRUCHIRAPPALLI, Tamil Nadu, 621001, India",621001,4598.26,0,94.89,2
P0451,W073,"99/279, Soni Ganj, Kakching Khunou, Thoubal, Manipur, 795103, India",795103,4292.85,2,304.36,5
P0066,W068,"H.No. 52, Pandey Chowk, Pardi KH, NANDED, Maharashtra, 431810, India",431810,13997.7,1,245.93,2
P0084,W158,"89, Mand Chowk, Murlen, Champhai, Mizoram, 796321, India",796321,1446.41,1,5.47,2
P0273,W116,"96, Padmanabhan Street, Bargaon, NAGAON, Assam, 782425, India",782425,4469.98,1,316.01,5
P0427,W005,"H.No. 144, Prakash Street, Chincholi (Tumsar), BHANDARA, Maharashtra, 441912, India",441912,4232.09,1,167.39,4
P0437,W028,"H.No. 19, Nayar Zila, Hasur Dumala, Kolhapur, Maharashtra, 416001, India",416001,14905.07,3,46.81,4
P0128,W145,"H.No. 319, Bath Street, Rakba Amola, AMBEDKAR NAGAR, Uttar Pradesh, 224139, India",224139,6190.95,1,67.1,2
P0074,W102,"90/344, Rege Nagar, Chak Shambhu, MUZAFFARPUR, Bihar, 843117, India",843117,11719.53,4,218.14,1
P0351,W139,"51, Bail Nagar, G.Marandahalli, KOLAR, Karnataka, 563132, India",563132,1389.22,4,245.76,3
P0470,W144,"H.No. 37, Prakash Ganj, Gauria Kalan, SITAPUR, Uttar Pradesh, 261125, India",261125,10654.94,2,113.24,3
P0099,W005,"H.No. 181, Sheth Path, MADHAPUR, NIZAMABAD, Telangana, 503213, India",503213,5264.05,3,130.65,3
P0053,W166,"83/71, Dhawan Path, Taticherla, ANANTHAPUR, Andhra Pradesh, 515731, India",515731,4447.88,2,90.98,1
P0481,W146,"16/09, Bajwa Nagar, Kothara, KACHCHH, Gujarat, 370645, India",370645,7971.25,2,61.47,3
P0459,W103,"95/05, Reddy, Budhera Zahidpur, MEERUT, Uttar Pradesh, 250002, India",250002,7347.63,3,284.86,2
P0122,W107,"29/644, Anand Chowk, Uttar Borbil, KARBI ANGLONG, Assam, 782481, India",782481,10682.96,2,384.36,2
P0034,W148,"11/15, Lal Marg, Haladva, SURAT, Gujarat, 394248, India",394248,15165.63,3,171.27,1
P0222,W182,"631, Dugar Circle, Sasaur, SHEIKHPURA, Bihar, 811102, India",811102,4217.32,3,332.18,2
P0011,W158,"248, Hayre, Navilgone, UTTARA KANNADA, Karnataka, 581338, India",581338,1746.46,3,128.79,3
P0152,W038,"21/630, Bhatnagar Zila, Beraja, DEVBHOOMI DWERKA, Gujarat, 361305, India",361305,7635.29,4,311.85,3
P0024,W162,"H.No. 129, Kannan Marg, Sangampalayam, DINDIGUL, Tamil Nadu, 624617, India",624617,2081.59,0,6.05,2
P0129,W126,"775, Panchal Ganj, Pennaluripeta, TIRUVALLUR, Tamil Nadu, 602026, India",602026,451.4,3,269.44,5
P0145,W117,"939, Kibe, Biringatoli, SUNDERGARH, Odisha, 770018, India",770018,9182.02,3,13.97,4
P0288,W024,"90/344, Rege Nagar, Chak Shambhu, MUZAFFARPUR, Bihar, 843117, India",843117,4920.12,3,0.86,3
P0233,W077,"23/888, Shah Marg, Bakuchi, DEORIA, Uttar Pradesh, 274808, India",274808,1204.75,1,100.94,2
P0406,W178,"60/317, Chaudhari Road, Pichkuri, BARDHAMAN, West Bengal, 713128, India",713128,941.23,3,23.24,5
P0382,W136,"775, Panchal Ganj, Pennaluripeta, TIRUVALLUR, Tamil Nadu, 602026, India",602026,2572.78,0,138.63,1
P0224,W153,"H.No. 262, Prabhu Ganj, Makdavan, UJJAIN, Madhya Pradesh, 456337, India",456337,2989.19,1,123.67,4
P0482,W016,"01/91, Narayan Road, Lahori, SHAJAPUR, Madhya Pradesh, 465220, India",465220,10401.54,3,54.01,3
P0050,W119,"03/265, Nair Zila, Simasi, GIR SOMNATH, Gujarat, 362560, India",362560,14036.12,1,206.13,3
P0256,W053,"H.No. 776, Chadha Zila, Rekhpur, KANSHIRAM NAGAR, Uttar Pradesh, 207123, India",207123,8451.04,2,155.29,4
P0443,W056,"H.No. 912, Soni Chowk, Patiyara, UNNAO, Uttar Pradesh, 209801, India",209801,10528.44,5,485.08,2
P0371,W033,"H.No. 755, Bail Zila, Kuppandampalayam, ERODE, Tamil Nadu, 638502, India",638502,11270.21,2,54.34,3
P0229,W071,"042, Reddy, Ammapatti, TIRUCHIRAPPALLI, Tamil Nadu, 621014, India",621014,2883.81,2,214.84,3
P0025,W187,"754, Lanka Nagar, Budhma, MADHEPURA, Bihar, 852114, India",852114,9477.1,3,238.41,1
P0090,W134,"021, Wason Path, Kangra Colony, AMRITSAR, Punjab, 143001, India",143001,793.29,3,656.66,5
P0420,W018,"H.No. 403, Tiwari Zila, Jyothinagar NTPC S.O, PEDDAPALLI, Telangana, 505215, India",505215,8522.92,1,210.16,3
P0276,W149,"H.No. 42, Khanna Circle, Jharkaha, MADHEPURA, Bihar, 852132, India",852132,13913.05,3,143.07,4
P0152,W114,"12/10, Ratta Road, Agucha, BHILWARA, Rajasthan, 311022, India",311022,7351.86,2,20.12,3
P0211,W058,"29/641, Mitter Path, Sujanpur SO Gurdaspur, PATHANKOT, Punjab, 145023, India",145023,3977.94,3,538.36,3
P0401,W018,"H.No. 28, Shukla Circle, Maranbid, HAVERI, Karnataka, 581101, India",581101,14712.67,2,282.23,4
P0163,W156,"H.No. 445, Dalal Street, Dhariya Khedi, MANDSAUR, Madhya Pradesh, 458002, India",458002,14019.59,2,46.72,1
P0139,W097,"72, Shanker Street, Valagota, DAHOD, Gujarat, 389130, India",389130,12200.07,2,25.84,4
P0242,W027,"64/250, Vasa Marg, Mamidikuduru, East Godavari, Andhra Pradesh, 533247, India",533247,12449.74,3,214.14,3
P0057,W137,"12, Chaudhuri Marg, Jakanur, BAGALKOT, Karnataka, 587201, India",587201,10761.16,0,122.6,2
P0080,W037,"H.No. 31, Bandi Nagar, Pachkhora, BALLIA, Uttar Pradesh, 277123, India",277123,9536.17,4,292.1,2
P0120,W028,"79/981, Master Zila, Wari, AKOLA, Maharashtra, 444103, India",444103,9591.49,3,37.7,5
P0034,W065,"H.No. 36, Sankar Ganj, Thogurai, PEDDAPALLI, Telangana, 505185, India",505185,15007.74,0,25.04,3
P0316,W015,"H.No. 80, Joshi Road, Mandle, RAIGARH, Maharashtra, 402305, India",402305,6050.43,3,379.61,3
P0210,W139,"33/84, Modi, Malkheda, NEEMUCH, Madhya Pradesh, 458441, India",458441,8758.24,0,165.19,1
P0351,W139,"01/91, Narayan Road, Lahori, SHAJAPUR, Madhya Pradesh, 465220, India",465220,1342.45,3,228.18,4
P0430,W108,"316, Gopal Nagar, Ullodu, CHIKKABALLAPUR, Karnataka, 561209, India",561209,6291.53,1,18.36,1
P0277,W009,"72, Shanker Street, Valagota, DAHOD, Gujarat, 389130, India",389130,7978.49,2,38.8,1
P0084,W077,"621, Devi Road, Kantifalia, SURAT, Gujarat, 394340, India",394340,1454.54,0,21.22,1
P0221,W011,"82/79, Vig Nagar, Surahan, AZAMGARH, Uttar Pradesh, 223224, India",223224,8155.55,0,85.12,4
P0166,W054,"H.No. 144, Prakash Street, Chincholi (Tumsar), BHANDARA, Maharashtra, 441912, India",441912,11818.63,0,102.69,3
P0155,W177,"11/673, Warrior Marg, Chinnaboinapalli, Parkal, Telangana, 506165, India",506165,14976.69,1,126.35,4
P0257,W182,"H.No. 82, Lala Chowk, Cheekunatham, Chittoor, Andhra Pradesh, 517425, India",517425,14319.77,1,63.44,1
P0047,W128,"25, Yadav Nagar, Hiwara BK, AMRAVATI, Maharashtra, 444701, India",444701,2176.24,3,119.75,2
P0389,W109,"647, Hora Chowk, Kolmandla, RAIGARH, Maharashtra, 402114, India",402114,2453.52,1,47.34,5
P0055,W183,"07/952, Contractor Street, Savdav, RATNAGIRI, Maharashtra, 416704, India",416704,14217.15,3,75.92,1
P0396,W082,"69/72, Kade Chowk, Bijaygarh, MORENA, Madhya Pradesh, 476111, India",476111,2173.16,4,237.65,4
P0325,W029,"72, Morar Zila, Aryavatam, EAST GODAVARI, Andhra Pradesh, 533468, India",533468,13291.53,3,100.83,5
P0468,W042,"H.No. 808, Mital Circle, Kinthalli, VISAKHAPATNAM, Andhra Pradesh, 531027, India",531027,1196.77,3,142.96,4
P0188,W010,"60/317, Chaudhari Road, Pichkuri, BARDHAMAN, West Bengal, 713128, India",713128,12047.02,1,271.49,4
P0246,W146,"H.No. 084, Sibal Road, Warwatti (B), Bidar, Karnataka, 585328, India",585328,10193.99,0,99.55,5
P0306,W073,"89, Mand Chowk, Murlen, Champhai, Mizoram, 796321, India",796321,14571.7,5,242.71,2
P0202,W119,"433, Dey Ganj, Tungou, Ukhrul, Manipur, 795142, India",795142,2922.99,3,83.87,2
P0165,W171,"353, Radhakrishnan Road, Jaya Prakash Nagar S.O, Mysuru, Karnataka, 570031, India",570031,12410.71,1,128.75,4
P0423,W080,"910, Hora Ganj, BubKheri, GHAZIABAD, Uttar Pradesh, 201003, India",201003,10280.12,1,185.02,1
P0229,W173,"01/361, Balasubramanian Street, SeKunnatur, VILLUPURAM, Tamil Nadu, 605651, India",605651,2998.4,4,331.59,2
P0377,W043,"12/10, Ratta Road, Agucha, BHILWARA, Rajasthan, 311022, India",311022,13391.91,1,38.91,4
P0283,W031,"23/888, Shah Marg, Bakuchi, DEORIA, Uttar Pradesh, 274808, India",274808,4342.28,2,71.1,5
P0365,W054,"H.No. 108, Dayal Circle, Chhichore, MAU, Uttar Pradesh, 221706, India",221706,2803.55,0,20.62,2
P0186,W018,"48, Kohli Ganj, Kavalande S.O, Mysuru, Karnataka, 571312, India",571312,7994.96,1,163.89,3
P0092,W193,"65/93, Sarma Ganj, Tirukatchur, KANCHIPURAM, Tamil Nadu, 603204, India",603204,13501.49,3,161.85,3
P0146,W012,"07/952, Contractor Street, Savdav, RATNAGIRI, Maharashtra, 416704, India",416704,9549.99,0,12.26,5
P0364,W107,"H.No. 403, Tiwari Zila, Jyothinagar NTPC S.O, PEDDAPALLI, Telangana, 505215, India",505215,14653.29,2,284.42,5
P0235,W001,"94/048, Kata Ganj, Som, UDAIPUR, Rajasthan, 313701, India",313701,13803.53,3,33.14,1
P0440,W178,"H.No. 025, Seth Road, Mutkallipur, AZAMGARH, Uttar Pradesh, 276288, India",276288,7567.29,4,302.92,1
P0466,W190,"69/37, Johal, Sibasthan, NAGAON, Assam, 782140, India",782140,9037.3,4,199.87,4
P0247,W136,"951, Lala Zila, Vedaraplavu, ALAPPUZHA, Kerala, 690505, India",690505,8252.42,3,200.52,4
P0369,W173,"69/37, Johal, Sibasthan, NAGAON, Assam, 782140, India",782140,8129.84,4,529.75,4
P0112,W025,"56, Chauhan Street, Raibag R.S., BELAGAVI, Karnataka, 591317, India",591317,11164.66,2,355.25,5
P0144,W143,"62/85, Kothari Street, Sadi, CHITTORGARH, Rajasthan, 312023, India",312023,10921.27,1,357.49,3
P0363,W086,"76/55, Sen Zila, Dattigaon, DHAR, Madhya Pradesh, 454116, India",454116,853.85,0,111.41,3
P0462,W063,"13/09, Comar Street, Khuntamodi, NANDURBAR, Maharashtra, 425414, India",425414,13156.64,3,359.22,5
P0443,W056,"H.No. 26, Vasa Ganj, Madanpura, GORAKHPUR, Uttar Pradesh, 273212, India",273212,10501.05,4,470.15,1
P0349,W122,"34, Shukla Circle, Manchanabele, RAMANAGAR, Karnataka, 562128, India",562128,9237.23,1,0.02,1
P0342,W191,"870, Radhakrishnan Path, Datia Civil Line, DATIA, Madhya Pradesh, 475661, India",475661,318.08,0,1.94,1
P0037,W024,"H.No. 28, Shukla Circle, Maranbid, HAVERI, Karnataka, 581101, India",581101,5292.97,2,228.65,4
P0070,W035,"23/95, Dar Ganj, Sekkanur, VELLORE, Tamil Nadu, 632105, India",632105,6238.69,2,117.75,5
P0003,W010,"299, Sarna Street, Penchara Deuli, BANKURA, West Bengal, 722150, India",722150,11974.66,1,243.92,2
P0159,W131,"60/317, Chaudhari Road, Pichkuri, BARDHAMAN, West Bengal, 713128, India",713128,3240.24,0,47.71,5
P0053,W110,"H.No. 035, Kakar, Hosur(SWP), HASSAN, Karnataka, 573137, India",573137,4534.14,0,186.81,3
P0132,W089,"636, Varty Ganj, Sadholi Quadeem, SAHARANPUR, Uttar Pradesh, 247121, India",247121,9917.86,3,12.9,1
P0038,W028,"92, Dixit Circle, Sangampatti, TIRUCHIRAPPALLI, Tamil Nadu, 621001, India",621001,4614.78,2,101.46,3
P0127,W047,"35/29, Sabharwal Ganj, Darima, DARBHANGA, Bihar, 847121, India",847121,6019.53,4,141.53,4
P0273,W123,"H.No. 19, Nayar Zila, Hasur Dumala, Kolhapur, Maharashtra, 416001, India",416001,4264.2,3,113.32,2
P0482,W154,"31, Dara, Kanakwadi, PUNE, Maharashtra, 412206, India",412206,10367.9,0,14.75,5
P0381,W060,"16/37, Saraf Ganj, Vijayapar, KACHCHH, Gujarat, 370165, India",370165,3202.77,2,141.7,5
P0233,W102,"81, Luthra Ganj, Sikri Khurd, HAPUR, Uttar Pradesh, 201204, India",201204,1168.98,1,81.4,5
P0414,W007,"H.No. 084, Sibal Road, Warwatti (B), Bidar, Karnataka, 585328, India",585328,13884.73,3,12.49,1
P0299,W192,"42/14, Sheth Road, Sector 30 Noida, GAUTAM BUDDHA NAGAR, Uttar Pradesh, 201303, India",201303,9233.74,5,301.52,3
P0003,W034,"03/265, Nair Zila, Simasi, GIR SOMNATH, Gujarat, 362560, India",362560,11914.72,2,199.2,1
P0295,W060,"74/51, Chandran Street, Kabilpur, BIRBHUM, West Bengal, 731132, India",731132,6688.34,3,110.27,2
P0435,W200,"H.No. 613, Khosla Chowk, Pachaun, HATHRAS, Uttar Pradesh, 204211, India",204211,11690.87,3,476.37,3
P0106,W120,"22/63, Jhaveri Street, Pinnaiyur, THANJAVUR, Tamil Nadu, 614902, India",614902,1123.92,0,81.39,3
P0308,W102,"16/09, Bajwa Nagar, Kothara, KACHCHH, Gujarat, 370645, India",370645,12213.64,2,8.17,4
P0217,W048,"85/34, Sama Street, Ayanthiruvaleeswaram, TIRUNELVELI, Tamil Nadu, 627418, India",627418,9163.92,4,202.85,3
P0379,W197,"55/44, Buch, Sherpura, PANCH MAHALS, Gujarat, 389341, India",389341,6241.25,1,67.22,3
P0188,W077,"01/361, Balasubramanian Street, SeKunnatur, VILLUPURAM, Tamil Nadu, 605651, India",605651,11896.02,0,95.34,5
P0403,W131,"H.No. 919, Pant Street, Amrail, SOUTH DINAJPUR, West Bengal, 733103, India",733103,2208.18,1,30.36,5
P0424,W099,"92, Nadig, Dwarli, THANE, Maharashtra, 421306, India",421306,8113.31,0,26.84,5
P0309,W079,"87/60, Bir Road, Gambirpur, JAGTIAL, Telangana, 505306, India",505306,8783.67,2,35.14,4
P0052,W028,"74/51, Chandran Street, Kabilpur, BIRBHUM, West Bengal, 731132, India",731132,977.63,3,210.22,4
P0243,W132,"63, Raja Marg, Thyagatur, TUMAKURU, Karnataka, 572223, India",572223,4180.99,3,114.19,2
P0450,W172,"16/37, Saraf Ganj, Vijayapar, KACHCHH, Gujarat, 370165, India",370165,4849.19,2,348.53,1
P0322,W080,"94, Bhatnagar Chowk, Badwasa, BANSWARA, Rajasthan, 327801, India",327801,13228.24,1,288.92,1
P0290,W136,"H.No. 622, Gupta Circle, Khatlabana, SRI GANGANAGAR, Rajasthan, 335001, India",335001,13153.23,1,65.35,4
P0355,W030,"969, Gera Road, Lohitha, Warangal, Telangana, 506310, India",506310,11311.95,1,74.96,2
P0224,W046,"H.No. 77, Sawhney Ganj, Pande, SOLAPUR, Maharashtra, 413203, India",413203,2879.95,1,20.04,1
P0296,W049,"754, Lanka Nagar, Budhma, MADHEPURA, Bihar, 852114, India",852114,13997.61,1,164.84,3
P0009,W032,"H.No. 108, Dayal Circle, Chhichore, MAU, Uttar Pradesh, 221706, India",221706,10407.03,0,53.68,1
P0061,W183,"H.No. 711, Bora Circle, Gunnaur, AMETHI, Uttar Pradesh, 227807, India",227807,5271.18,3,180.2,3
P0014,W131,"H.No. 129, Kannan Marg, Sangampalayam, DINDIGUL, Tamil Nadu, 624617, India",624617,11308.6,3,123.45,4
P0192,W056,"77/50, Rama Chowk, Karikadu, NELLORE, Andhra Pradesh, 524403, India",524403,5082.88,3,309.64,4
P0069,W121,"H.No. 77, Suri Marg, Bachiti, SAHARANPUR, Uttar Pradesh, 247551, India",247551,13478.16,1,298.39,1
P0281,W045,"48/642, Modi Circle, Akulatampara, SRIKAKULAM, Andhra Pradesh, 532459, India",532459,14921.4,0,11.2,5
P0087,W116,"631, Dugar Circle, Sasaur, SHEIKHPURA, Bihar, 811102, India",811102,6687.32,3,405.58,3
P0099,W135,"H.No. 113, Pandya Street, Piparpati, GORAKHPUR, Uttar Pradesh, 273306, India",273306,5334.41,4,186.0,1
P0170,W149,"H.No. 756, Tella Nagar, Gedi, KACHCHH, Gujarat, 370165, India",370165,1643.51,1,210.7,2
P0321,W069,"98, Mangat, Haripur, TAPI, Gujarat, 394375, India",394375,11855.47,1,316.87,1
P0112,W191,"H.No. 632, Lal Circle, Anghora, KATNI, Madhya Pradesh, 483336, India",483336,10810.8,3,7.53,5
P0208,W032,"98, Mangat, Haripur, TAPI, Gujarat, 394375, India",394375,7959.55,4,147.8,5
P0032,W021,"48/642, Modi Circle, Akulatampara, SRIKAKULAM, Andhra Pradesh, 532459, India",532459,7201.52,4,181.25,4
P0367,W124,"62/85, Kothari Street, Sadi, CHITTORGARH, Rajasthan, 312023, India",312023,12617.23,3,325.73,4
P0237,W155,"H.No. 74, Varughese Road, Tharhi Sidhhap, MADHUBANI, Bihar, 847232, India",847232,1992.13,2,72.13,5
P0182,W067,"11/15, Lal Marg, Haladva, SURAT, Gujarat, 394248, India",394248,1925.55,0,49.34,3
P0124,W169,"778, Tripathi Circle, Courtallam S.O, TIRUNELVELI, Tamil Nadu, 627802, India",627802,2800.01,2,68.67,5
P0397,W095,"H.No. 502, Ravi Path, Keshabchak, HOOGHLY, West Bengal, 712410, India",712410,5909.11,0,88.5,3
P0139,W092,"H.No. 262, Prabhu Ganj, Makdavan, UJJAIN, Madhya Pradesh, 456337, India",456337,12284.27,1,101.01,1
P0075,W150,"12/10, Ratta Road, Agucha, BHILWARA, Rajasthan, 311022, India",311022,3328.68,1,150.42,2
P0274,W149,"01/91, Narayan Road, Lahori, SHAJAPUR, Madhya Pradesh, 465220, India",465220,13014.07,3,60.91,1
P0006,W121,"H.No. 148, Kade, Singihaun, SUPAUL, Bihar, 852138, India",852138,2870.02,3,92.93,5
P0428,W118,"76/55, Sen Zila, Dattigaon, DHAR, Madhya Pradesh, 454116, India",454116,1377.55,1,118.15,1
P0497,W176,"90/344, Rege Nagar, Chak Shambhu, MUZAFFARPUR, Bihar, 843117, India",843117,9320.74,2,126.46,1
P0437,W141,"536, Lal Road, Korion, KAUSHAMBI, Uttar Pradesh, 212205, India",212205,15077.62,1,219.01,4
P0225,W169,"29/644, Anand Chowk, Uttar Borbil, KARBI ANGLONG, Assam, 782481, India",782481,14701.37,1,38.1,2
P0436,W168,"H.No. 31, Bandi Nagar, Pachkhora, BALLIA, Uttar Pradesh, 277123, India",277123,12410.37,4,438.32,4
P0287,W190,"92, Tata Path, Nambakkam, TIRUVALLUR, Tamil Nadu, 602023, India",602023,574.33,1,192.54,5
P0169,W067,"75/285, Agate Nagar, Ghole, HOOGHLY, West Bengal, 712401, India",712401,806.43,2,143.04,1
P0277,W113,"88/52, Dyal, Akuteegapadu, West Godavari, Andhra Pradesh, 534196, India",534196,8151.54,0,190.42,2
P0287,W050,"74/30, Dada Chowk, Chandraspalli, MAHABUB NAGAR, Telangana, 509371, India",509371,431.2,0,51.07,2
P0073,W072,"H.No. 30, Nigam Chowk, Parikha, VADODARA, Gujarat, 391210, India",391210,9429.51,0,61.71,5
P0182,W019,"H.No. 52, Pandey Chowk, Pardi KH, NANDED, Maharashtra, 431810, India",431810,2142.8,3,245.48,5
P0175,W157,"910, Hora Ganj, BubKheri, GHAZIABAD, Uttar Pradesh, 201003, India",201003,4784.27,2,123.08,2
P0156,W063,"H.No. 169, Shanker Path, Tagadi, AHMEDABAD, Gujarat, 382250, India",382250,6548.73,4,242.98,4
